Date,Text,Time,categories_standard
"August 11, 2021",Billing  Improper charge,0:00:00,Payments
"August 11, 2021",Other,0:00:00,Other
"August 11, 2021","App/Ride  Starting a ride, The scooter doesnt move, Ending a ride",0:00:00,App Issues
"August 11, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 11, 2021",Billing  Improper charge,0:00:00,Payments
"August 11, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 11, 2021",Billing  Improper charge,0:00:00,Payments
"August 11, 2021",App/Ride  Starting a ride,0:00:52,App Issues
"August 11, 2021","App/Ride  Starting a ride, Ending a ride",0:00:56,App Issues
"August 11, 2021",Damaged vehicle Throttle,0:00:26,Damaged Vehicle Issues
"August 11, 2021","App/Ride  Starting a ride, The scooter doesnt move",0:00:01,App Issues
"August 11, 2021",Other,0:00:08,Other
"August 11, 2021",Billing  Improper charge,0:00:02,Payments
"August 11, 2021",Billing  Improper charge,0:01:19,Payments
"August 11, 2021","App/Ride  The scooter doesnt move, Starting a ride",0:00:51,App Issues
"August 12, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 12, 2021",Billing  Improper charge,0:00:00,Payments
"August 12, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 12, 2021",Other,0:00:00,Other
"August 12, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 12, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 12, 2021",Other,0:00:00,Other
"August 12, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 12, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 12, 2021",Parking Concern Other,0:00:07,Incidents
"August 12, 2021",Other,0:00:00,Other
"August 12, 2021",Other,0:00:00,Other
"August 12, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 12, 2021",,0:00:00,Other
"August 12, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 12, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 12, 2021",Billing  Improper charge,0:00:00,Payments
"August 12, 2021",Damaged vehicle Kickstand,0:00:00,Damaged Vehicle Issues
"August 12, 2021","Damaged vehicle Lights, Other, Kickstand, Brakes",0:00:00,Damaged Vehicle Issues
"August 12, 2021",Other,0:00:00,Other
"August 12, 2021","Damaged vehicle Throttle, Brakes",0:47:03,Damaged Vehicle Issues
"August 12, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 12, 2021",Billing  Improper charge,0:00:00,Payments
"August 12, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 12, 2021",Billing  Improper charge,0:00:00,Payments
"August 12, 2021",Other,0:00:00,Other
"August 12, 2021",Billing  Change payment method,0:00:00,Payments
"August 12, 2021",Damaged vehicle Throttle,0:00:02,Damaged Vehicle Issues
"August 12, 2021",App/Ride  The scooter doesnt move,0:00:38,App Issues
"August 13, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 13, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 13, 2021",App/Ride  Starting a ride,0:00:00,App Issues
"August 13, 2021",App/Ride  Ending a ride,0:00:29,App Issues
"August 13, 2021",Other,0:29:57,Other
"August 13, 2021",App/Ride  Other,0:00:33,App Issues
"August 13, 2021",Damaged vehicle Brakes,0:00:03,Damaged Vehicle Issues
"August 13, 2021",Other,0:00:10,Other
"August 13, 2021",Billing  Change payment method,0:00:00,Payments
"August 13, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 13, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 13, 2021",,0:00:00,Other
"August 13, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 13, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 13, 2021",,0:19:14,Other
"August 13, 2021",Damaged vehicle Handlebars,0:28:02,Damaged Vehicle Issues
"August 13, 2021",App/Ride  The scooter doesnt move,0:00:18,App Issues
"August 13, 2021",Damaged vehicle Brakes,0:00:34,Damaged Vehicle Issues
"August 13, 2021",,0:00:08,Other
"August 13, 2021",Other,0:00:07,Other
"August 13, 2021",App/Ride  Starting a ride,0:00:06,App Issues
"August 14, 2021",,0:00:00,Other
"August 14, 2021",,0:00:00,Other
"August 14, 2021",App/Ride  Ending a ride,0:00:05,App Issues
"August 14, 2021",Other,0:00:31,Other
"August 14, 2021",Billing  Other,0:00:06,Payments
"August 14, 2021",Damaged vehicle Throttle,0:00:04,Damaged Vehicle Issues
"August 14, 2021","App/Ride  The scooter doesnt move, Starting a ride",0:00:00,App Issues
"August 14, 2021",Billing  Refund delayed,0:00:01,Payments
"August 14, 2021",Billing  Improper charge,0:41:22,Payments
"August 14, 2021",App/Ride  The scooter doesnt move,0:00:04,App Issues
"August 14, 2021",Damaged vehicle Throttle,0:23:33,Damaged Vehicle Issues
"August 14, 2021",Other,0:00:03,Other
"August 14, 2021",,0:00:00,Other
"August 14, 2021",,0:45:38,Other
"August 14, 2021",App/Ride  Starting a ride,0:00:04,App Issues
"August 14, 2021",App/Ride  The scooter doesnt move,0:00:04,App Issues
"August 14, 2021",Billing  Change payment method,0:00:07,Payments
"August 14, 2021",App/Ride  Starting a ride,0:00:11,App Issues
"August 15, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 15, 2021","221 W 6th St, Austin TX 78701, United States 
August 15, 2021  34  297488 App/Ride  The scooter doesnt move",0:00:00,App Issues
"August 15, 2021",App/Ride  Starting a ride,0:00:01,App Issues
"August 15, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 15, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 15, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 15, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 15, 2021",,0:00:00,Other
"August 15, 2021",Other,0:00:00,Other
"August 15, 2021",Billing  Improper charge,0:00:00,Payments
"August 15, 2021",App/Ride  Other,0:00:00,App Issues
"August 15, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 15, 2021",Billing  Improper charge,0:00:00,Payments
"August 15, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 15, 2021",,0:31:48,Other
"August 15, 2021",Parking Concern  Other,0:00:04,Incidents
"August 15, 2021",Damaged vehicle Throttle,0:00:30,Damaged Vehicle Issues
"August 16, 2021",Billing  Improper charge,0:36:18,Payments
"August 16, 2021",Damaged vehicle Other,0:00:19,Damaged Vehicle Issues
"August 16, 2021",Parking Concern Illegal parking,0:00:00,Incidents
"August 16, 2021",Billing  Change payment method,0:00:00,Payments
"August 16, 2021",Damaged vehicle Other,0:00:00,Damaged Vehicle Issues
"August 16, 2021",,0:00:42,Other
"August 16, 2021",refund,0:00:00,Payments
"August 16, 2021",App/Ride  Ending a ride,0:00:20,App Issues
"August 16, 2021",Other,0:00:09,Other
"August 16, 2021",Damaged vehicle Throttle,0:00:14,Damaged Vehicle Issues
"August 16, 2021",Parking Concern Other,0:00:10,Incidents
"August 17, 2021",Billing  Other,0:00:00,Payments
"August 17, 2021",Parking Concern  Other,0:00:00,Incidents
"August 17, 2021",App/Ride  Starting a ride,0:00:06,App Issues
"August 17, 2021",App/Ride  Other,0:00:11,App Issues
"August 17, 2021",Damaged vehicle Other,0:00:05,Damaged Vehicle Issues
"August 17, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 17, 2021",App/Ride  Ending a ride,0:12:00,App Issues
"August 17, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 17, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 17, 2021",Other,0:00:00,Other
"August 17, 2021",App/Ride  The scooter doesnt move,0:00:00,App Issues
"August 17, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 17, 2021",App/Ride  Other,0:30:11,App Issues
"August 17, 2021","App/Ride  Starting a ride, The scooter doesnt move",0:00:08,App Issues
"August 17, 2021","App/Ride  Ending a ride, The scooter doesnt move",0:00:01,App Issues
"August 18, 2021",App/Ride  Starting a ride,0:00:00,App Issues
"August 18, 2021",Damaged vehicle Throttle,0:00:08,Damaged Vehicle Issues
"August 18, 2021",App/Ride  Starting a ride,0:00:00,App Issues
"August 18, 2021",Other,0:00:00,Other
"August 18, 2021",Parking Concern  Other,0:00:00,Incidents
"August 18, 2021",Other,0:00:27,Other
"August 18, 2021",Damaged vehicle Brakes,0:00:00,Damaged Vehicle Issues
"August 18, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 18, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 18, 2021",Damaged vehicle Throttle,0:00:02,Damaged Vehicle Issues
"August 18, 2021",App/Ride  Starting a ride,0:00:02,App Issues
"August 18, 2021",App/Ride  Starting a ride,0:00:02,App Issues
"August 18, 2021",Other,0:00:00,Other
"August 18, 2021",Damaged vehicle Throttle,0:00:36,Damaged Vehicle Issues
"August 18, 2021",Damaged vehicle Other,0:00:23,Damaged Vehicle Issues
"August 18, 2021",Other,0:00:03,Other
"August 19, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 19, 2021",App/Ride  Ending a ride,0:00:00,App Issues
"August 19, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 19, 2021",Other,0:00:00,Other
"August 19, 2021",Billing Improper charge,0:00:00,Payments
"August 19, 2021",Billing Improper charge,0:02:55,Payments
"August 19, 2021",App/Ride Starting a ride,0:00:49,App Issues
"August 19, 2021",Parking Concern Other,0:00:04,Incidents
"August 19, 2021",Other,0:00:00,Other
"August 19, 2021","Ending a ride, Other, The scooter doesnt move 
312650 App/Ride",0:00:00,App Issues
"August 19, 2021",App/Ride Other,0:00:00,App Issues
"August 19, 2021",Damaged vehicle Other,0:00:00,Damaged Vehicle Issues
"August 19, 2021",App/Ride Ending a ride,0:00:00,App Issues
"August 19, 2021",App/Ride Ending a ride,0:00:00,App Issues
"August 19, 2021",Billing Change payment method,0:00:00,Payments
"August 19, 2021",App/Ride The scooter doesnt move,0:00:00,App Issues
"August 19, 2021",App/Ride Starting a ride,0:00:00,App Issues
"August 19, 2021",App/Ride The scooter doesnt move,0:00:00,App Issues
"August 19, 2021","Damaged vehicle Brakes, Other",0:00:00,Damaged Vehicle Issues
"August 19, 2021",App/Ride Ending a ride,0:00:00,App Issues
"August 19, 2021","App/Ride Starting a ride, The scooter doesnt move, Ending a ride sent_by_receipt",0:00:00,App Issues
"August 19, 2021",Parking Concern Blocking a path,0:00:08,Incidents
"August 19, 2021",Damaged vehicle Throttle,0:00:18,Damaged Vehicle Issues
"August 20, 2021",App/Ride The scooter doesnt move,0:04:03,App Issues
"August 20, 2021",Parking Concern Other,0:44:11,Incidents
"August 20, 2021",Billing Improper charge,0:00:00,Payments
"August 20, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 20, 2021",App/Ride Signing in,0:00:00,App Issues
"August 20, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 20, 2021",Damaged vehicle Other,1:03:14,Damaged Vehicle Issues
"August 20, 2021","August 20, 2021 34 317351 Damaged vehicle Other",0:00:06,Damaged Vehicle Issues
"August 20, 2021",App/Ride Starting a ride,0:35:56,App Issues
"August 20, 2021",Billing Improper charge,0:00:07,Payments
"August 21, 2021",App/Ride The scooter doesnt move,0:00:00,App Issues
"August 21, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 21, 2021",App/Ride The scooter doesnt move,0:00:02,App Issues
"August 21, 2021",App/Ride Ending a ride,0:00:00,App Issues
"August 21, 2021",App/Ride Signing in,0:00:00,App Issues
"August 21, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 21, 2021",App/Ride Ending a ride,0:00:00,App Issues
"August 21, 2021",Billing Other,0:00:00,Payments
"August 21, 2021",,0:32:52,Other
"August 21, 2021",App/Ride Ending a ride,0:32:18,App Issues
"August 22, 2021",Damaged vehicle Other,0:00:00,Damaged Vehicle Issues
"August 22, 2021",App/Ride Other,0:00:47,App Issues
"August 22, 2021",App/Ride Signing in,0:00:00,App Issues
"August 22, 2021",App/Ride The scooter doesnt move,0:00:00,App Issues
"August 22, 2021",Other,0:00:39,Other
"August 22, 2021",Billing Change payment method,0:00:12,Payments
"August 22, 2021",App/Ride Starting a ride,0:00:31,App Issues
"August 23, 2021",App/Ride Ending a ride,0:00:00,App Issues
"August 23, 2021",App/Ride Ending a ride,0:00:02,App Issues
"August 23, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 23, 2021",Other,0:00:00,Other
"August 23, 2021",Other,0:00:00,Other
"August 23, 2021",App/Ride Other,0:00:00,App Issues
"August 23, 2021",Other,0:00:06,Other
"August 23, 2021",App/Ride Ending a ride,0:00:07,App Issues
"August 23, 2021",App/Ride Other,0:32:22,App Issues
"August 23, 2021",Other,0:00:05,Other
"August 23, 2021",App/Ride Ending a ride,0:00:10,App Issues
"August 23, 2021",Parking Concern Other,0:00:20,Incidents
"August 23, 2021",Damaged vehicle Throttle,0:00:40,Damaged Vehicle Issues
"August 24, 2021",Damaged vehicle Throttle,0:00:09,Damaged Vehicle Issues
"August 24, 2021",Billing Refund delayed,0:00:15,Payments
"August 24, 2021",App/Ride Ending a ride,0:00:20,App Issues
"August 24, 2021",App/Ride Other,0:00:21,App Issues
"August 24, 2021","App/Ride The scooter doesnt move, Ending a ride",0:12:00,App Issues
"August 24, 2021",Damaged vehicle Throttle,0:00:00,Damaged Vehicle Issues
"August 24, 2021",App/Ride Ending a ride,0:00:00,App Issues
"August 24, 2021",Other,0:00:00,Other
"August 24, 2021",Other,0:00:00,Other
